company,layoff_date,jobs_cut,pct_workforce_cut,sector,country,hq_city,ai_cited,reason_stated,company_revenue_2025_bn,pre_layoff_headcount,stock_change_day_pct,simultaneous_ai_investment_bn,roles_most_affected,replacement_roles,ceo_quote,layoffs_2024,layoffs_2025,verified_source,month,quarter,region,layoff_size_category,stock_reaction,laid_off_vs_headcount_pct,data_as_of
Cisco,2026-02-15,6000,7.0,Networking/Cybersecurity,USA,San Jose,False,Restructuring after Splunk acquisition,56.9,85000,-0.5,2.0,Overlapping roles post-acquisition,Security AI specialists,Realigning global workforce,4200,6000,Computerworld,February 2026,Q1 2026,North America,Mega (5K+),Negative,7.06,"March 18, 2026"
T-Mobile,2026-02-02,363,0.1,Telecommunications,USA,Bellevue,False,Restructuring sales teams,80.0,71000,-0.3,0.0,Sales representatives,None announced,Reorganizing under new CEO,0,5000,FierceNetwork,February 2026,Q1 2026,North America,Small (<500),Negative,0.51,"March 18, 2026"
SK Battery America,2026-03-16,958,37.3,EV Batteries,USA,Commerce GA,False,Slowing EV demand,8.4,2566,-2.1,0.0,Battery production workers,None announced,EV market slowdown,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,37.33,"March 18, 2026"
Walgreens,2026-03-11,1000,0.5,Retail Pharmacy,USA,Deerfield IL,False,Store closures and cost restructuring,140.0,315000,-0.8,0.0,"Pharmacy staff, store associates",None announced,Streamlining operations,3000,2000,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,0.32,"March 18, 2026"
Telefonica,2026-01-15,5000,5.0,Telecommunications,Spain,Madrid,False,Cost restructuring with compensation,44.5,100000,0.4,0.0,Legacy network operations,Digital roles,Voluntary redundancy offered,0,3000,FierceNetwork,January 2026,Q1 2026,Europe,Large (2K-5K),Positive,5.0,"March 18, 2026"
xAI,2026-02-25,50,2.0,AI Research,USA,San Francisco,True,Internal reorganization,0.0,2500,0.0,6.0,"Senior engineers, co-founders",None announced,Reorganization confirmed by Musk,0,0,TechCrunch,February 2026,Q1 2026,North America,Small (<500),Neutral,2.0,"March 18, 2026"
Palo Alto Networks,2026-02-18,500,2.0,Cybersecurity,USA,Santa Clara,False,Post-CyberArk acquisition overlap,8.0,15000,0.5,0.5,Overlapping roles from merger,None announced,Eliminating post-acquisition redundancies,0,500,InformationWeek,February 2026,Q1 2026,North America,Small (<500),Positive,3.33,"March 18, 2026"
Livspace,2026-02-10,1000,15.0,Interior Design Tech,India,Bangalore,True,AI design tools replace human designers,0.3,7000,0.0,0.1,"Interior designers, project managers",AI design specialists,AI-driven design automation,0,0,Medha Cloud,February 2026,Q1 2026,Asia-Pacific,Medium (500-2K),Neutral,14.29,"March 18, 2026"
General Motors Tech,2026-01-22,1000,2.0,Automotive Tech,USA,Detroit,False,Rethinking digital transformation,180.0,150000,-0.4,3.0,"Software engineers, digital staff",None announced,Moving resources to highest-priority work,500,1500,Computerworld,January 2026,Q1 2026,North America,Medium (500-2K),Negative,0.67,"March 18, 2026"
Workday,2026-01-28,2200,8.5,Enterprise SaaS,USA,Pleasanton CA,True,AI investment and office space reduction,8.5,25800,1.8,1.5,"Customer service, admin roles",AI success managers,Investing more in AI and international,1750,1750,Computerworld,January 2026,Q1 2026,North America,Large (2K-5K),Positive,8.53,"March 18, 2026"
Ergo Insurance,2026-03-01,200,2.0,Insurance,Germany,Dusseldorf,True,AI automates insurance tasks,0.0,9000,0.0,0.2,"Claims processors, underwriters",AI system trainers,AI automates traditional insurance tasks,0,0,Intellizence,March 2026,Q1 2026,Europe,Small (<500),Neutral,2.22,"March 18, 2026"
Algoma Steel,2026-03-07,1000,20.0,Manufacturing,Canada,Sault Ste Marie,False,Blast furnace closure,2.8,5000,-1.5,0.0,Steel production workers,None announced,Closing blast furnace operations,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,20.0,"March 18, 2026"
Meta Platforms (Planned),2026-03-13,16000,20.0,Social Media/AI,USA,Menlo Park,True,Offset AI infrastructure costs,164.5,79000,3.0,115.0,"Engineering, middle management, ops","AI engineers, GPU infrastructure",Building personal superintelligence,0,0,CNBC / Reuters / IBTimes,March 2026,Q1 2026,North America,Mega (5K+),Positive,20.25,"March 18, 2026"
Algoma Steel,2026-03-23,1000,20.0,Manufacturing,Canada,Sault Ste Marie,False,Blast furnace closure effective,2.8,5000,-1.5,0.0,Steel workers,None announced,Effective layoff date per filing,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,20.0,"March 18, 2026"
